epic,session,is_index,rec_reason,rec_pnl,new_pnl,rec_R,new_R,changed,new_reason,win_to_loss,loser_saved,was_hardstop
DE40,Asia,True,Z-score midline,-51.2,-52.5,-1.1947349139776997,-1.2250699801529148,True,stopcap,False,False,False
DE40,London,True,Z-score midline,40.5,40.5,0.6382654873924392,0.6382654873924392,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,2.0,2.0,0.17388933361372685,0.17388933361372685,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-47.4,-46.9,-3.0029795111117665,-2.971302512049406,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,12.5,12.5,0.39667337040367817,0.39667337040367817,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,2.8,2.8,0.08737999850180084,0.08737999850180084,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-10.1,-56.5,-0.20044575768364703,-1.1213054761510948,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,10.5,10.5,0.22489594381596043,0.22489594381596043,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,4.5,4.5,0.12652305765034166,0.12652305765034166,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,6.0,6.0,0.1111750741642139,0.1111750741642139,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,22.8,22.8,0.6546115138777996,0.6546115138777996,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,9.0,9.0,0.16458400811919455,0.16458400811919455,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,46.3,46.3,0.4597143993155986,0.4597143993155986,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,29.3,29.3,0.5576332434848269,0.5576332434848269,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,35.0,35.0,0.6468918218552061,0.6468918218552061,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,21.0,21.0,0.3102277027004409,0.3102277027004409,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,33.0,33.0,0.4459024685492625,0.4459024685492625,False,Z-score midline,False,False,False
DE40,Asia,True,Hard stop: ask 20623.5 >= stop 20605.8195,-322.2,-49.0,-11.766835139413564,-1.7894938604322304,True,stopcap,False,True,True
DE40,Asia,True,Z-score midline,60.0,60.0,1.2834320438538878,1.2834320438538878,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,55.6,55.6,0.9102128984681265,0.9102128984681265,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,17.5,17.5,0.5435641427745296,0.5435641427745296,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,16.5,16.5,0.5761751899258838,0.5761751899258838,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-176.5,-32.0,-5.665469660680226,-1.0271673039193612,True,stopcap,False,True,False
DE40,London,True,Z-score midline,-9.5,-69.0,-0.14620993790885534,-1.0619458648116862,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,87.0,87.0,1.057165059156701,1.057165059156701,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,4.0,4.0,0.07565147162308804,0.07565147162308804,False,Z-score midline,False,False,False
DE40,Overlap,True,Time exit: -60.0 min remaining <= 30 min threshold,-116.1,-55.4,-2.10325726732875,-1.0036214695091537,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,18.5,18.5,0.5411578148110471,0.5411578148110471,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,11.5,11.5,0.37510740687660016,0.37510740687660016,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,9.4,9.4,0.21630241350596885,0.21630241350596885,False,Z-score midline,False,False,False
DE40,Overlap,True,Time exit: -60.0 min remaining <= 30 min threshold,-121.6,-71.0,-2.6608920058838264,-1.5536458258038788,True,stopcap,False,True,False
DE40,London,True,Z-score midline,-44.4,-64.2,-0.8723472335412511,-1.2613669457961334,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,-29.8,-60.3,-0.5370954662262841,-1.0868072689075479,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,10.2,10.2,0.12307896656056592,0.12307896656056592,False,Z-score midline,False,False,False
DE40,NY,True,Time exit: -60.0 min remaining <= 30 min threshold,-53.9,-53.9,-0.79997430071469,-0.79997430071469,False,Time exit: -60.0 min remaining <= 30 min threshold,False,False,False
DE40,Asia,True,Z-score midline,-39.6,-84.1,-0.6952249815634926,-1.4764752765022655,True,stopcap,False,False,False
DE40,NY,True,Z-score midline,30.6,30.6,0.565926552496551,0.565926552496551,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,14.5,14.5,0.49163338217531427,0.49163338217531427,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,5.2,5.2,0.14172245031093125,0.14172245031093125,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,-25.6,-61.6,-0.45470822446845216,-1.0941416651272131,True,stopcap,False,False,False
DE40,NY,True,Z-score midline,28.7,28.7,0.5505080274214011,0.5505080274214011,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,6.5,6.5,0.20735859674504983,0.20735859674504983,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-31.8,-57.8,-0.8284279117037656,-1.5057589086942658,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,-27.4,-27.4,-0.43301302011119086,-0.43301302011119086,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,34.0,34.0,0.6042646492625618,0.6042646492625618,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,32.9,32.9,0.5576938437487838,0.5576938437487838,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,85.9,85.9,0.6544341125310309,0.6544341125310309,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,93.0,93.0,1.1833076672177358,1.1833076672177358,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,95.4,95.4,0.8943150642531058,0.8943150642531058,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,37.0,37.0,0.4916149389993238,0.4916149389993238,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,42.0,42.0,0.555537500834227,0.555537500834227,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,-57.5,-77.5,-0.9658668267914204,-1.3018205056753926,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,-5.3,-5.3,-0.19142764589314473,-0.19142764589314473,False,Z-score midline,False,False,False
DE40,London,True,Session close (no bar at threshold),-153.7,-57.0,-3.6429896459385804,-1.351011124388413,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,-12.3,-60.8,-0.398937341688356,-1.971982957288784,True,stopcap,False,False,False
DE40,London,True,Z-score midline,-21.3,-21.3,-0.4380625212320919,-0.4380625212320919,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,53.5,53.5,1.2463383538851807,1.2463383538851807,False,Z-score midline,False,False,False
DE40,London,True,Time exit: -60.0 min remaining <= 30 min threshold,-91.8,-97.2,-1.6648613780630837,-1.7627944003020886,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,12.3,12.3,0.4834691361716475,0.4834691361716475,False,Z-score midline,False,False,False
